h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9,h_1_10,h_1_11,h_1_12,h_1_13,h_1_14,h_1_15,h_1_16,h_1_17,h_1_18,h_1_19,h_1_20,h_1_21,h_1_22,h_1_23,h_1_24,h_1_25,h_1_26,h_1_27,h_1_28,h_1_29,h_1_30,h_1_31,h_1_32,h_1_33,h_1_34,h_1_35,h_1_36,h_1_37,h_1_38,h_1_39,h_1_40,h_1_41,h_1_42,h_1_43,h_1_44,h_1_45,h_1_46,h_1_47,h_1_48,h_1_49,h_1_50,h_1_51,h_1_52,h_1_53,h_1_54,h_1_55,h_1_56,h_1_57,h_1_58,h_1_59,h_1_60,h_1_61,h_1_62,h_1_63,h_1_64,h_1_65,h_1_66,h_1_67,h_1_68,h_1_69,h_1_70,h_1_71,h_1_72,h_1_73,h_1_74,h_1_75,h_1_76,h_1_77,h_1_78,h_1_79,h_1_80,h_1_81,h_1_82,h_1_83,h_1_84,h_1_85,h_1_86,h_1_87,h_1_88,h_1_89,h_1_90,h_1_91,h_1_92,h_1_93,h_1_94,h_1_95,h_1_96,h_1_97,h_1_98,h_1_99
1.0333467,0.0,0.71421075,1.9451004,0.0,0.0,0.0,1.130658,0.0,3.7490628,0.0,0.0,0.0,0.0,0.6568996,0.0,0.0,0.0,0.0,0.98272604,0.9112686,0.0,0.0,0.0,0.4410983,0.0,0.0,0.0,0.6182435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3914611,0.0,1.9676481,0.0,0.0,0.0,0.0,0.44696367,0.0,0.0,0.0,0.0,1.0172957,0.0,0.0,0.0,0.0,0.52622724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0926032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7163588,0.0,0.0,0.0,0.0,0.0,0.0,2.2167,0.0,0.0,0.0,0.0,0.6407579,0.0
0.6879315,0.0,0.65534544,1.7993425,0.0,0.0,0.0,0.9251163,0.0,3.3406749,0.0,0.0,0.0,0.0,0.59928834,0.0,0.0,0.0,0.0,0.67270225,0.7582926,0.0,0.0,0.0,0.5327071,0.0,0.0,0.0,0.3980538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0223384,0.0,1.5121258,0.0,0.0,0.0,0.0,0.5278634,0.0,0.0,0.0,0.0,1.0103526,0.0,0.0,0.0,0.0,0.14676294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8022049,0.0,0.0,0.0,0.0,0.0,0.0,1.790288,0.0,0.0,0.0,0.0,0.3280606,0.0
0.85138494,0.0,0.64514625,1.8880786,0.0,0.0,0.0,0.6085815,0.0,3.7757356,0.0,0.0,0.0,0.0,0.7796849,0.0,0.0,0.0,0.0,0.95973545,0.9876964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0501935,0.0,1.7008637,0.0,0.0,0.0,0.0,0.9270974,0.0,0.0,0.0,0.0,1.0986723,0.0,0.0,0.0,0.0,0.63271743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4382944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34736693,0.0,0.0,0.0,0.0,0.0,0.0,2.0380752,0.0,0.0,0.0,0.0,1.2418139,0.0
0.0070704184,0.0,0.0,1.0356367,0.0,0.0,0.0,0.031814698,0.0,5.727631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1847217,0.0,0.033128712,2.1544936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9552536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40700847,0.0,1.2134975,0.0,0.0,0.0,0.44905996,1.9781438,0.0,0.0,0.0,0.0,2.340578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79342985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.067222,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0837609,0.0,0.0,0.0,0.3000481,0.0,3.9662874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779924,0.0,0.30885515,1.8349009,0.0,0.0,0.0,0.21953355,0.0,0.0,0.0,1.3295455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301969,0.0,1.4021481,0.0,0.0,0.0,0.0,1.1620184,0.0,0.0,0.0,0.0,1.9081311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16924535,0.0,0.0,0.0,0.0,0.0,0.0,2.764747,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.829454,0.0,0.0,0.0,0.0,0.0,5.2235703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2531974,0.0,0.0,2.6567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3033671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112302594,0.0,0.7441864,0.0,0.0,0.0,0.7421061,2.2361114,0.0,0.0,0.0,0.0,2.607222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73872125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9080863,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7652177,0.0,0.0,0.0,0.0,0.0,4.640014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93411845,0.0,0.24674389,2.0779204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6212764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28500384,0.0,1.0913342,0.0,0.0,0.0,0.14966933,1.3615801,0.0,0.0,0.0,0.0,1.7919958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3750395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0068984,0.0,0.0,0.0,0.0,0.0,0.0
0.33552468,0.0,0.3581993,1.3277335,0.0,0.0,0.0,0.6353776,0.0,3.7840173,0.0,0.0,0.0,0.0,0.4998595,0.0,0.0,0.0,0.0,0.5513211,0.5827575,0.0,0.0,0.0,0.03042493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5783759,0.0,1.7668716,0.0,0.0,0.0,0.0,1.2839547,0.0,0.0,0.0,0.0,1.9421012,0.0,0.0,0.0,0.0,0.30588496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0457513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29068887,0.0,0.0,0.0,0.0,0.0,0.0,2.0667617,0.0,0.0,0.0,0.0,0.7712078,0.0
0.0,0.0,0.0,1.2556723,0.0,0.0,0.0,0.45529166,0.0,4.971738,0.0,0.0,0.0,0.0,0.022944996,0.0,0.0,0.61028415,0.0,0.13120799,1.7637081,0.0,0.0,0.0,0.16948095,0.0,0.0,0.0,1.3867725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44284254,0.0,1.4556314,0.0,0.0,0.0,0.0,1.5482485,0.0,0.0,0.0,0.0,1.8464675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8847188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14590226,0.0,0.0,0.0,0.0,0.0,0.0,2.7080953,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9628263,0.0,0.0,0.0,0.027994934,0.0,5.0367403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8520012,0.0,0.0,2.3548577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2202077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1458172,0.0,1.269905,0.0,0.0,0.0,0.1523578,1.9475154,0.0,0.0,0.0,0.0,2.1025639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3939518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1039014,0.0,0.0,0.0,0.0,0.0,0.0
