h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27,h_2_28,h_2_29,h_2_30,h_2_31,h_2_32,h_2_33,h_2_34,h_2_35,h_2_36,h_2_37,h_2_38,h_2_39,h_2_40,h_2_41,h_2_42,h_2_43,h_2_44,h_2_45,h_2_46,h_2_47,h_2_48,h_2_49
-0.7607626,-0.4424953,0.9077984,0.32663795,0.4575903,-0.83858037,-0.9107066,-0.75871783,0.826238,0.812677,-0.8847104,0.8847911,0.7519148,0.77910227,-0.67481333,-0.81551814,0.8925488,-0.73962146,0.9342894,-0.2318297,-0.90211153,-0.7248597,-0.83677673,0.8952346,0.4969281,-0.8765694,0.7487522,0.93906707,-0.5776937,-0.6535898,0.7899267,0.7607098,0.6705289,-0.6902004,0.94853884,0.052815773,0.96887285,0.031905558,-0.9105907,-0.6702815,-0.70289016,0.9531419,-0.52381843,-0.18173681,0.9008692,-0.0307423,-0.87089694,0.72114956,0.904449,0.23035109
-0.301294,-0.2081131,0.44796598,0.21552393,0.061081704,-0.36890575,-0.59812963,-0.50274205,0.7241205,0.6795865,-0.57867193,0.44573775,0.61960423,0.6594324,-0.4171323,-0.6680243,0.77008575,-0.15178254,0.69822013,-0.085196935,-0.4769277,-0.7022809,-0.7795606,0.7813118,0.3456705,-0.40459627,0.6799045,0.7292734,-0.2967962,-0.20555055,0.71835417,0.3158265,0.47153658,-0.17622057,0.6813862,0.0016676567,0.8617135,-0.21780139,-0.64219165,-0.6702217,-0.11608196,0.73008543,-0.30632883,-0.26713207,0.5413685,0.005529481,-0.33931515,0.5209325,0.65398055,0.30471423
0.1179692,0.0024594902,-0.18770652,0.021871272,-0.043523606,0.13399893,0.2167169,0.26322147,-0.3077211,-0.14854068,0.10782116,-0.13534942,-0.27043384,-0.09215367,0.09190917,0.10182288,-0.1562284,-0.059243172,-0.1946525,0.100890025,0.158663,0.18634085,0.071758464,-0.27197617,-0.06628005,0.27542552,-0.048483454,-0.41625166,-0.05264652,-0.009431251,-0.09519059,-0.17214459,-0.021731673,0.04019076,-0.27770197,-0.023635875,-0.38519785,-0.13132927,0.17217255,0.13867347,0.15603805,-0.3540848,0.043419294,-0.000587602,-0.23478138,0.06889921,0.1113999,-0.07566779,-0.13762352,-0.1719736
-0.6440209,-0.08201456,0.5885399,0.11989936,0.20072748,-0.6098935,-0.7088129,-0.587562,0.6366321,0.6083835,-0.733653,0.6758283,0.5236372,0.54873294,-0.44031453,-0.47387558,0.6719847,-0.49474654,0.7154272,-0.069071926,-0.6358786,-0.38739735,-0.5532906,0.74506867,0.2697645,-0.6601008,0.5950883,0.81415254,-0.1762152,-0.43802717,0.66098773,0.55732536,0.40414214,-0.5020114,0.7633246,0.06354257,0.85701394,-0.0096729,-0.7934576,-0.5136828,-0.41865495,0.8486793,-0.16579342,0.09097853,0.729855,0.13020264,-0.5817781,0.59695864,0.75418776,0.14875044
-0.034327082,-0.01543602,-0.122414485,0.14933982,-0.12193749,0.06694461,-0.031914417,-0.1292462,0.40428025,0.44273925,-0.16540346,0.026004683,0.30951592,0.331029,-0.13722478,-0.28049907,0.40129316,0.1344745,0.15068252,0.005653968,0.024055265,-0.3953907,-0.50884265,0.5125814,0.16818199,0.13663368,0.47895035,0.28389508,-0.03225751,0.061433055,0.48335376,0.078286774,0.10141851,0.030053658,0.2348152,0.015593709,0.4992634,-0.25964734,-0.31049263,-0.458602,0.21303764,0.33132827,0.015591089,-0.121517286,0.1743483,0.13565107,0.19402169,0.39670774,0.31220537,0.20190206
-0.6602684,-0.27699694,0.7359925,0.19161357,0.29275393,-0.69412273,-0.78195155,-0.5393258,0.5987826,0.6568698,-0.79226375,0.76113224,0.4472037,0.6391831,-0.50573385,-0.6364214,0.7630162,-0.66339314,0.8105604,-0.07663043,-0.74523073,-0.4517645,-0.7031782,0.7523817,0.31445277,-0.6827874,0.6584452,0.781184,-0.44612846,-0.54985267,0.70911366,0.5559873,0.5322463,-0.5338918,0.8171625,-0.01166042,0.87015885,-0.086595766,-0.81657845,-0.48864484,-0.4964734,0.835133,-0.35436723,-0.057487383,0.76146764,0.07176919,-0.715673,0.58396554,0.8026242,0.030481368
-0.62485725,-0.38561082,0.72902334,0.16299991,0.16801813,-0.66449577,-0.83571637,-0.7242022,0.85643953,0.81182146,-0.8010231,0.7542118,0.7759276,0.7425357,-0.60165477,-0.7896768,0.8881032,-0.43661243,0.8777379,-0.1494923,-0.7420461,-0.7805661,-0.88286537,0.9196547,0.46245182,-0.70972973,0.8137816,0.9173035,-0.4299239,-0.44210654,0.81831795,0.6864619,0.5779776,-0.5202581,0.9070658,0.11028901,0.9651659,-0.22651589,-0.89466524,-0.784023,-0.338323,0.93188137,-0.302984,-0.25962144,0.7990331,0.13128829,-0.665453,0.75486785,0.8871897,0.4190122
-0.07600569,-0.22150047,0.20445003,0.16304685,-0.041995514,-0.113859415,-0.31829563,-0.2972555,0.57538545,0.53800124,-0.28632304,0.20759661,0.5105821,0.44916955,-0.27490008,-0.519863,0.5937878,0.05183785,0.46298888,-0.057475768,-0.25079742,-0.59960586,-0.68073726,0.65564144,0.2661534,-0.110807985,0.54644924,0.5250289,-0.21466868,-0.023386473,0.5188138,0.25067717,0.2658709,-0.08430281,0.5315436,0.05823815,0.72255284,-0.25189388,-0.46885896,-0.56198215,0.09431431,0.540842,-0.11806384,-0.27847296,0.2993227,0.06561568,-0.083494246,0.45137838,0.49606776,0.30434486
-0.5743029,-0.30377868,0.642831,0.26332393,0.09780963,-0.5437815,-0.7653092,-0.5953912,0.7683384,0.7779089,-0.7618587,0.67859524,0.7300474,0.74758404,-0.5389242,-0.7632776,0.8551234,-0.42461106,0.8412506,-0.03077576,-0.7090424,-0.71607906,-0.85580343,0.87971795,0.47308806,-0.6307706,0.82303566,0.8386403,-0.41025242,-0.39222693,0.8208705,0.5762463,0.6129756,-0.48575044,0.8586909,0.14748183,0.9392271,-0.33918592,-0.8681748,-0.74210244,-0.23438683,0.8865635,-0.24316475,-0.23534308,0.7236247,0.1451398,-0.5826056,0.721088,0.8710136,0.2967756
-0.54703456,-0.2849155,0.6317555,0.14167503,0.19808148,-0.5988879,-0.7223716,-0.51577103,0.62423193,0.6260067,-0.73408824,0.6776948,0.52648985,0.5968763,-0.47984767,-0.63009465,0.75534314,-0.5315163,0.7770718,-0.021185968,-0.65686077,-0.5179106,-0.73046553,0.7573252,0.33700964,-0.5827766,0.66990834,0.7581983,-0.39936244,-0.4766135,0.6634098,0.54910904,0.50622845,-0.52131486,0.7914938,0.09823877,0.8645199,-0.21934187,-0.80502087,-0.5803513,-0.28650483,0.8228245,-0.22061008,-0.113585785,0.6638259,0.15858085,-0.63555485,0.63559043,0.79697967,0.1308648
-0.30244353,-0.08242521,0.37001932,0.23520213,0.10152169,-0.19227682,-0.26253736,-0.21584691,0.15254699,0.2779322,-0.26997432,0.33194533,0.4272181,0.16803987,-0.1218757,-0.18598296,0.2405276,-0.18184842,0.34524712,-0.08603453,-0.38494438,-0.15126924,-0.10969494,0.32007053,0.2709667,-0.4622566,0.25572962,0.3567911,-0.06665261,-0.17364149,0.14353907,0.34141645,0.18183337,-0.35277906,0.43283185,0.19036202,0.4086074,0.047343016,-0.40897068,-0.15069684,-0.29400605,0.5141526,0.0053088926,0.028869983,0.44407272,0.067724384,-0.3337146,0.27172193,0.4204333,0.12485117
0.48859215,-0.17563334,-0.6805498,0.018626226,-0.38525882,0.54581106,0.57686496,0.2454714,-0.14721572,-0.05679021,0.3709263,-0.5663575,0.21782455,-0.17323461,0.3005451,0.08305441,-0.17319013,0.58587897,-0.5050885,0.14220297,0.69781625,-0.17173314,-0.07539697,-0.023753177,0.032678477,0.5519927,0.17968422,-0.44368702,0.03203101,0.35742262,-0.2172466,-0.37772334,-0.060685564,0.3576289,-0.57900816,0.20484564,-0.42820752,-0.24577485,0.26727435,-0.24202518,0.51054084,-0.40320244,0.42938444,-0.16397475,-0.455628,0.34122846,0.49371248,0.02196978,-0.2035849,0.28725052
-0.81108147,-0.44483927,0.9000421,0.37997997,0.41275713,-0.84823775,-0.9212698,-0.73436904,0.83324873,0.85693645,-0.91951966,0.89961773,0.7385164,0.84822345,-0.71879625,-0.85127544,0.91292363,-0.80135816,0.9460619,-0.086923905,-0.92186093,-0.7173022,-0.8876346,0.9219402,0.5021157,-0.86028445,0.8474001,0.943127,-0.6318111,-0.6752864,0.8821534,0.7640718,0.7448757,-0.7193483,0.9604823,0.061178803,0.9783149,-0.15926361,-0.94763726,-0.72797996,-0.658096,0.9615086,-0.48085737,-0.16588707,0.90697336,0.069090314,-0.86899316,0.80712545,0.94332737,0.12779641
-0.55692595,-0.3659743,0.643652,0.303281,0.10693639,-0.50988007,-0.71238136,-0.49661833,0.67853713,0.7568933,-0.7170205,0.66788775,0.65694356,0.6978081,-0.48656335,-0.732325,0.8125176,-0.4528963,0.8011744,-0.06043373,-0.69497716,-0.6516031,-0.8280586,0.84757584,0.4445989,-0.58362025,0.7933968,0.7744286,-0.45830867,-0.36563295,0.77895117,0.54736173,0.5582086,-0.4466976,0.83855724,0.108601496,0.91104805,-0.29216197,-0.83974093,-0.65286607,-0.2912208,0.8466671,-0.24203056,-0.24713236,0.7209102,0.133599,-0.56374687,0.6715595,0.84690905,0.24100704
