h_2_0,h_2_1,h_2_2,h_2_3
0.9992508,0.9660132,-0.38623676,-0.9999799
0.9965725,0.99216914,-0.24848671,-0.999992
0.99999225,-0.3581347,-0.39489383,-0.99999565
-0.99957514,1.0,-0.35548118,-0.9995887
0.9985798,0.99611545,-0.54971635,-0.99998814
0.97403944,0.99934727,-0.4974109,-0.99999344
0.99999976,-0.9947404,-0.3205791,-0.9999984
-0.99999774,1.0,0.019258955,-0.8684419
-0.9973721,0.9999994,-0.2776988,-0.9992147
-0.999277,0.9999999,-0.21192293,-0.99988353
0.9969463,0.9917123,-0.36832085,-0.9999894
-0.99999774,1.0,0.017732965,-0.8723656
-0.9979731,0.99999946,-0.2869952,-0.9991778
-0.99937314,0.99999976,-0.20877637,-0.9998821
0.99578375,0.993061,-0.3560421,-0.99998873
-0.9999999,1.0,0.4890582,0.9904565
-0.9999982,1.0,0.040048942,-0.69314265
-0.9999896,1.0,-0.008413533,-0.9928393
-0.99739456,0.9999995,-0.23730965,-0.99980795
0.993609,0.99901396,-0.5417068,-0.9999922
0.99999976,-0.9880354,-0.33175737,-0.9999985
0.9999998,-0.9945342,-0.2965083,-0.9999989
1.0,-1.0,0.19915888,-0.99999964
-0.9991265,0.99999976,-0.27151278,-0.99968404
0.9985918,0.9864176,-0.43702725,-0.999983
0.98349094,0.9981029,-0.3291823,-0.9999921
0.99999815,-0.9128643,-0.4050134,-0.9999967
-0.9992813,0.99999976,-0.27872634,-0.9996696
0.9980797,0.9862722,-0.442614,-0.9999809
0.9759436,0.99848044,-0.31536216,-0.9999918
0.9999975,-0.88813454,-0.37649277,-0.9999966
-0.9999965,1.0,0.0014919477,-0.9444505
-0.9946515,0.9999989,-0.2805876,-0.99945784
-0.9989793,0.99999964,-0.19784729,-0.999904
0.99733204,0.98896724,-0.29778326,-0.9999887
0.99754083,0.9984243,-0.55427456,-0.9999932
0.9999999,-0.9829036,-0.341692,-0.9999989
1.0,-0.9929986,-0.3093814,-0.999999
1.0,-1.0,0.17544532,-0.99999964
-0.9983478,0.9999997,-0.27140483,-0.99967724
0.9991825,0.98129565,-0.4362579,-0.9999835
0.9935867,0.99633586,-0.32998645,-0.99999285
0.99999833,-0.89248765,-0.39871827,-0.9999973
-0.9986764,0.9999999,-0.27930024,-0.99966097
0.9989138,0.98033905,-0.44307426,-0.99998176
0.9908434,0.9969701,-0.3167312,-0.9999924
0.99999756,-0.8658199,-0.37058082,-0.99999696
-0.9999964,1.0,0.0061747683,-0.9344285
-0.98656696,0.9999977,-0.2774928,-0.9994528
-0.9982374,0.99999976,-0.19828112,-0.9999025
0.99857926,0.9822866,-0.2954445,-0.999989
0.9999999,-0.9844954,-0.3187835,-0.9999992
1.0,-1.0,0.23058647,-0.99999964
1.0,-1.0,0.19634268,-0.9999998
1.0,-1.0,-0.21986292,-0.99999976
0.9977374,0.9928626,-0.4018703,-0.99998957
0.9999982,-0.8591674,-0.46653455,-0.9999963
0.9999985,-0.90028584,-0.35750282,-0.99999803
1.0,-1.0,0.50270367,-0.9999986
0.9968029,0.9928148,-0.40775332,-0.9999882
0.99999744,-0.86181635,-0.47203282,-0.9999956
0.99999803,-0.87455964,-0.32721478,-0.999998
1.0,-1.0,0.5427931,-0.99999833
-0.9969955,0.99999946,-0.25512198,-0.99975514
0.9990808,0.97123975,-0.3793829,-0.99998087
0.9948667,0.9943441,-0.240544,-0.99999213
0.9999915,-0.2969155,-0.38521835,-0.99999577
-0.9999977,1.0,0.056922197,-0.8574345
-0.9960291,0.99999917,-0.25726223,-0.9992019
-0.99909484,0.9999999,-0.20066789,-0.99988097
0.99792284,0.98925424,-0.37359697,-0.99998945
-1.0,1.0,0.50117344,0.99203247
-0.9999982,1.0,0.0537634,-0.64814836
-0.99998987,1.0,-0.0036623685,-0.99173665
-0.99547386,0.9999994,-0.23945875,-0.9998024
-1.0000001,1.0,0.49916023,0.99159354
-0.99999833,1.0,0.048601944,-0.66007596
-0.9999901,1.0,-0.0061765937,-0.9920139
-0.9964464,0.9999995,-0.23999752,-0.9998001
-1.0,1.0,0.71409416,0.9999821
-1.0000001,1.0,0.48225424,0.99697536
-0.9999997,1.0,0.37669432,0.73079675
-0.9999939,1.0,-0.06779859,-0.9796009
-0.9987926,0.9999998,-0.24675761,-0.9996812
0.9989896,0.9834097,-0.43440786,-0.9999833
0.9899494,0.9973261,-0.33108774,-0.99999243
0.9999984,-0.9243121,-0.41998821,-0.9999971
-0.9999964,1.0,0.014929443,-0.9356161
-0.98943895,0.99999803,-0.27419442,-0.9994486
-0.9984875,0.9999999,-0.20029368,-0.9999009
0.9984544,0.98318106,-0.31670764,-0.9999886
-0.9999964,1.0,0.010756128,-0.93790424
-0.9920835,0.9999985,-0.27838576,-0.9994372
-0.9987359,0.99999994,-0.20000874,-0.99989986
0.99801415,0.986055,-0.3065516,-0.9999883
-0.9999999,1.0,0.43692064,0.97783834
-0.9999976,1.0,-0.029064236,-0.84273094
-0.99998796,1.0,-0.07165278,-0.9955378
-0.99188477,0.99999905,-0.2678524,-0.99984264
-0.9976045,0.9999997,-0.2465006,-0.9996761
0.999394,0.978074,-0.4349909,-0.99998415
0.99597836,0.9950365,-0.33354414,-0.99999297
0.9999985,-0.90468454,-0.4172828,-0.99999744
-0.9999965,1.0,0.020116823,-0.9240882
-0.97208416,0.99999577,-0.2703677,-0.99944645
-0.9972019,0.99999964,-0.20028585,-0.99990004
0.9991166,0.9747711,-0.31410027,-0.9999891
-0.9999964,1.0,0.01578672,-0.9267593
-0.9794256,0.99999654,-0.27502328,-0.99943376
-0.9977214,0.99999976,-0.20030154,-0.9998988
0.9988967,0.97846204,-0.30467892,-0.99998885
-0.9999999,1.0,0.44323337,0.98194396
-0.9999973,1.0,-0.022146959,-0.81686
-0.99998784,1.0,-0.06933559,-0.994895
-0.9799528,0.99999774,-0.26660812,-0.99984443
0.9985081,0.9909059,-0.39615524,-0.99999
0.9999986,-0.8745026,-0.4780073,-0.9999966
0.9999989,-0.9133742,-0.37392914,-0.99999815
1.0,-1.0,0.45279846,-0.9999987
-0.99453676,0.99999917,-0.2481723,-0.99975264
0.9993766,0.96415013,-0.38927186,-0.99998116
0.9973214,0.99075013,-0.25847486,-0.99999243
0.9999937,-0.43667606,-0.43295258,-0.99999577
-0.995771,0.9999992,-0.2519609,-0.99974686
0.9992402,0.9668786,-0.38583133,-0.9999803
0.99643666,0.9924942,-0.24837977,-0.9999922
0.9999922,-0.33239225,-0.4012159,-0.99999577
-0.9999952,1.0,-0.05330598,-0.9652787
-0.93924946,0.9999924,-0.30399656,-0.99961025
-0.9955332,0.9999995,-0.22269087,-0.99991465
0.99917406,0.97203124,-0.28972387,-0.9999884
