h_3_0,h_3_1,h_3_2,h_3_3
-0.9803816,0.8425527,-0.4943215,0.81633055
-0.97813505,0.89724714,-0.65272814,0.7907388
0.78100896,1.0,0.9999837,-0.965443
-0.99338955,-0.9945868,0.90137327,0.96281326
-0.3890349,0.99999905,1.0,0.9590828
-0.9862601,0.12465273,0.17635655,0.8863386
-0.9931051,-0.9922916,0.88629603,0.9603042
-0.99371976,-0.99648035,0.91715777,0.96565604
-0.5522899,0.9999979,1.0,0.98718196
-0.9935182,-0.99541295,0.9077354,0.9639315
-0.98008794,0.9326117,-0.458922,0.8042995
-0.5426588,0.9999984,1.0,0.9867947
0.74941087,1.0,0.99999064,-0.9562148
-0.9813156,0.8888061,-0.36297244,0.8213046
0.80246,1.0,0.9997823,-0.97756124
-0.9923661,-0.98191595,0.8404809,0.95353067
-0.9836523,0.67825574,-0.1444595,0.85338044
0.7750059,1.0,0.9999851,-0.96389323
0.798581,-0.99999905,-1.0,-0.96255857
-0.97762847,0.8998016,-0.6841946,0.78574973
-0.9947115,-0.9991708,0.95423096,0.97371614
-0.9851836,0.40433687,0.05740053,0.87320435
-0.99358,-0.99576527,0.9106943,0.96446186
