h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7
-0.9090689,0.087408066,0.17195362,-1.0,0.99995553,-0.92378765,0.9999391,0.8519742
-0.958147,0.89887816,0.9101341,-1.0,0.9999999,-0.4650911,0.99999964,0.9651999
-0.7408939,-0.9207122,-0.91575915,-0.9989264,0.6126611,-0.96726996,0.6781425,0.8192654
-0.08224846,-0.99525774,-0.99773717,-0.46022195,-0.9489967,-0.99723613,-0.9063578,0.6224244
-0.95297384,0.4650329,0.6768236,-1.0,0.9999769,-0.73803955,0.9999511,0.9355629
-0.8759087,-0.7051952,-0.7763117,-0.9999993,0.99561274,-0.98246443,0.9970373,0.8102135
-0.80509275,-0.5312653,-0.51648676,-0.99999934,0.99293226,-0.8980556,0.9947396,0.8806042
-0.15187214,-0.99543536,-0.9972662,-0.4321661,-0.94546044,-0.9970362,-0.9165663,0.7164097
-0.90807253,-0.57694227,-0.20787619,-0.9999992,0.9917802,-0.88996124,0.9914463,0.84418195
-0.975715,0.5148523,0.70638824,-1.0,0.99993753,-0.77098626,0.9999539,0.9196762
-0.6064697,-0.9599269,-0.9755418,-0.99929667,0.74149054,-0.99293876,0.7464453,0.82654756
-0.97536355,0.90773284,0.9365838,-1.0,0.9999997,-0.4232688,0.99999964,0.9279002
-0.8215774,-0.7233361,-0.8042598,-0.9999997,0.9962068,-0.9793355,0.99699223,0.75887996
-0.6590915,-0.93617386,-0.8987,-0.99940157,0.54022545,-0.9574331,0.4571712,0.8053889
-0.81490123,-0.54515094,-0.5770398,-0.99999964,0.996864,-0.9153965,0.99679554,0.8728217
-0.8064099,-0.5570121,-0.33849767,-0.99999976,0.99516267,-0.8613069,0.992175,0.8591893
-0.13449079,-0.9911276,-0.9930922,-0.6224933,-0.96326333,-0.984778,-0.9293356,0.5170548
-0.98055637,0.9851884,0.9914623,-1.0,1.0,0.065130405,1.0,0.9781544
-0.95061636,0.42712814,0.5934226,-1.0,0.99990207,-0.74855655,0.9999393,0.90519136
-0.55990624,-0.9583963,-0.9797181,-0.9993445,0.7255926,-0.99341434,0.77200216,0.76404554
-0.82044804,-0.6898778,-0.7083105,-0.9999996,0.9979588,-0.97373754,0.9960272,0.8420588
